Code,Assemblage,Weibull model curve,,,,,,Log-Linear model with tail,,,,,,
,,p/alpha,D,AIC,RMSE,MDK99 (min),MDK99(s),Yo,D,Tail,RMSE,AIC,MDK99 (min),MDK99(s)
T1,L,-,-,-,-,-,-,-,-,-,-,-,-,-
T6,L+P,0.39,2.77,18.53,1.08,16,984,7.085,4.598,4.798,0.966,16.679,9,552
T7,L+X,0.64,1.58,4.47,0.45,5,277,7.137,3.284,0.85,0.088,-21.677,7,394
T8,L+M,0.07457,6.577E-10,6.143,0.5,0,0,-,-,-,-,-,-,-
T9,L+F,-,-,-,-,-,-,-,-,-,-,-,-,-
T10,L+P+X,0.43,4.19,11.49,0.70,21,1242,6.98,4.348,4.915,0.639,10.085,9,522
T11,L+P+M,1.82,12.23,12.22,0.73,18,1073,-,-,-,-,-,-,-
T12,L+P+F,0.38,9.41,16.90,0.98,58,3461,6.955,10.526,5.53,0.903,15.608,21,1263
T13,L+X+M,0.5022,0.7763,17.53,1.018,3,185,6.613,3.732,0.85,1.125,19.118,7,448
T14,L+X+F,0.2998,0.05311,10.007,0.636,1,32,7.005,0.786,0.85,0.127,-15.717,2,94
T15,L+M+F,0.03573,2.686E-20,15.819,0.915,0,0,-,-,-,-,-,-,-
T16,L+P+X+M,0.80,6.06,20.54,1.23,14,860,-,-,-,-,-,-,-
T17,L+P+X+F,1.69,12.35,7.23,0.54,19,1117,-,-,-,-,-,-,-
T18,L+P+M+F,0.44,6.78,10.32,0.65,33,1976,6.952,8.721,5.233,0.51,6.477,17,1047
T19,L+X+M+F,0.3993,0.3018,21.004,1.265,2,103,6.238,3.149,0.85,1.296,21.383,6,378
T20,L+P+X+M+F,1.46,10.65,6.65,0.52,17,1029,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
